simulation,sample_size,total_return,max_drawdown,sharpe_ratio,total_trades,win_rate,profit_factor,expectancy,net_profit,largest_win,largest_loss,avg_trade_duration
344,7000,-0.0009853246996422967,-0.001166071225385285,-0.5758129201586355,395,0.369620253164557,0.6487471425523456,-0.0249961052981173,-9.873461592756332,0.7258774632174557,-0.3631534808539224,13.916455696111111
345,7000,-0.0010964059399249891,-0.0013047066354245798,-0.637522403387717,373,0.3726541554959786,0.6219953932297949,-0.029424292261745075,-10.975261013630917,0.6343729403478996,-0.6087660702779049,14.506702412777777
346,7000,-0.0009275298453654614,-0.001030324367812064,-0.5362856104531601,357,0.39775910364145656,0.6415256018047213,-0.02603750859873638,-9.295390569748886,0.5113911426508687,-0.7030936681889862,15.36694677861111
347,7000,-0.0010074511195018203,-0.0011644521859598893,-0.5395686711245419,395,0.36455696202531646,0.6539240380488176,-0.025533111461661123,-10.08557902735614,0.8575324332618978,-0.5272737076847592,14.078481012500001
348,7000,-0.0011690400495061113,-0.0013262012434986732,-0.6567622879498636,383,0.3524804177545692,0.6087095728900477,-0.03055214511287016,-11.70147157822927,0.9332129861262723,-0.7839226962501352,14.18276762388889
349,7000,-0.0012405380780421184,-0.001371355229066507,-0.7339442849320928,399,0.3659147869674185,0.5865167396212176,-0.031118690261640457,-12.41635741439454,0.3638294044208937,-1.0520846864172928,12.954887217777777
350,7000,-0.0006990286386026128,-0.0008160317857055086,-0.4006738992772079,354,0.4011299435028249,0.7277279034949429,-0.019775900960551984,-7.000668940035403,0.8266872780202098,-0.7586128596939232,14.0508474575
351,7000,-0.001341525659216677,-0.0014114109845783714,-0.7978161426001573,396,0.34595959595959597,0.5615726722080724,-0.033903588405397964,-13.425821008537596,0.747939091777175,-0.48510957198365184,12.803030302777778
352,7000,-0.0007558751801689141,-0.0009160893487291126,-0.42685115286185704,366,0.40710382513661203,0.7111138417226532,-0.020682438465813982,-7.569772478487916,1.0576976882576719,-0.45181531189048546,15.027322404166666
353,7000,-0.0006249497666653042,-0.0008132500247532748,-0.3484316588503507,365,0.40821917808219177,0.7614033046448434,-0.017152355560354042,-6.260609779529226,0.6626367993790984,-0.6785779708993518,15.550684931388888
354,7000,-0.0008700349998231104,-0.001013360641255167,-0.49641635764876757,390,0.3923076923076923,0.6943727944432218,-0.02233541484905325,-8.710811791130766,0.46389152185922583,-0.6207684353606892,13.892307692222223
355,7000,-0.0010005092886993226,-0.0011168331883537076,-0.5969298118083038,372,0.3521505376344086,0.6338999085235671,-0.026921979295667982,-10.014976297988493,0.6847830777238838,-0.47017422385391616,13.072580645
